merged	ID	WS / SS	Semester	Dozent	Vorlesung	Anmerkung
7322	1	W 1856/57	7.	Eitelberger von Edelberg, Rudolph	Geschichte der bildenden Künste vom Anfang der christlichen Zeitrechnung bis zum Ende des Mittelalters	
7322	1	W 1856/57	7.	Eitelberger von Edelberg, Rudolph	Aesthetik der bildenden Künste	
7322	1	W 1856/57	7.	Eitelberger von Edelberg, Rudolph	Über antike Baustile	
7322	1	W 1856/57	7.	Aschbach, Joseph	Geschichte des Mittelalters nach den Zeiten der Kreuzzüge	
7322	1	W 1856/57	7.	Hanslick, Eduard	Über Geschichte der Tonkunst	im Nachtrag zum Vorlesungsverzeichnis: Privatdocent Dr. Karl Hanslik [sic]
7695	2	W 1856/57	7.	Bonitz, Hermann	Geschichte der griechischen Philosophie	
7695	2	W 1856/57	7.	Hanslick, Eduard	Über Geschichte der Tonkunst	
7044	3	W 1856/57		Hanslick, Eduard	Über Geschichte der Tonkunst	
7060	4	W 1856/57		Hanslick, Eduard	Über Geschichte der Tonkunst	
7087	5	W 1856/57		Hanslick, Eduard	Über Geschichte der Tonkunst	
7103	6	W 1856/57		Hanslick, Eduard	Über Geschichte der Tonkunst	
7118	7	W 1856/57		Hanslick, Eduard	Über Geschichte der Tonkunst	
7155	8	W 1856/57		Hanslick, Eduard	Über Geschichte der Tonkunst	
7161	9	W 1856/57		Hanslick, Eduard	Über Geschichte der Tonkunst	
7209	10	W 1856/57		Hanslick, Eduard	Über Geschichte der Tonkunst	
7244	11	W 1856/57		Hanslick, Eduard	Über Geschichte der Tonkunst	
7248	12	W 1856/57		Hanslick, Eduard	Über Geschichte der Tonkunst	
7276	13	W 1856/57		Hanslick, Eduard	Über Geschichte der Tonkunst	
7320	14	W 1856/57		Hanslick, Eduard	Über Geschichte der Tonkunst	
7327	15	W 1856/57		Hanslick, Eduard	Über Geschichte der Tonkunst	
7339	16	W 1856/57		Hanslick, Eduard	Über Geschichte der Tonkunst	
7340	17	W 1856/57		Hanslick, Eduard	Über Geschichte der Tonkunst	
7388	18	W 1856/57		Hanslick, Eduard	Über Geschichte der Tonkunst	
7399	19	W 1856/57		Hanslick, Eduard	Über Geschichte der Tonkunst	
7431	20	W 1856/57		Hanslick, Eduard	Über Geschichte der Tonkunst	
7446	21	W 1856/57		Hanslick, Eduard	Über Geschichte der Tonkunst	
7456	22	W 1856/57		Hanslick, Eduard	Über Geschichte der Tonkunst	
7478	23	W 1856/57		Hanslick, Eduard	Über Geschichte der Tonkunst	
7534	24	W 1856/57		Hanslick, Eduard	Über Geschichte der Tonkunst	
7574	25	W 1856/57		Hanslick, Eduard	Über Geschichte der Tonkunst	
7600	26	W 1856/57		Hanslick, Eduard	Über Geschichte der Tonkunst	
7617	27	W 1856/57		Hanslick, Eduard	Über Geschichte der Tonkunst	
7635	28	W 1856/57		Hanslick, Eduard	Über Geschichte der Tonkunst	
7636	29	W 1856/57		Hanslick, Eduard	Über Geschichte der Tonkunst	
7638	30	W 1856/57		Hanslick, Eduard	Über Geschichte der Tonkunst	
7642	31	W 1856/57		Hanslick, Eduard	Über Geschichte der Tonkunst	
7670	32	W 1856/57		Hanslick, Eduard	Über Geschichte der Tonkunst	
7674	33	W 1856/57		Hanslick, Eduard	Über Geschichte der Tonkunst	
7700	34	W 1856/57		Hanslick, Eduard	Über Geschichte der Tonkunst	
7731	35	W 1856/57		Hanslick, Eduard	Über Geschichte der Tonkunst	
7739	36	W 1856/57		Hanslick, Eduard	Über Geschichte der Tonkunst	
7738	37	W 1856/57		Hanslick, Eduard	Über Geschichte der Tonkunst	
7748	38	W 1856/57		Hanslick, Eduard	Über Geschichte der Tonkunst	
7749	39	W 1856/57		Hanslick, Eduard	Über Geschichte der Tonkunst	
7754	40	W 1856/57		Hanslick, Eduard	Über Geschichte der Tonkunst	
7758	41	W 1856/57		Hanslick, Eduard	Über Geschichte der Tonkunst	
7767	42	W 1856/57		Hanslick, Eduard	Über Geschichte der Tonkunst	
7772	43	W 1856/57		Hanslick, Eduard	Über Geschichte der Tonkunst	
7805	44	W 1856/57		Hanslick, Eduard	Über Geschichte der Tonkunst	
7128	45	W 1856/57		Hanslick, Eduard	Über Geschichte der Tonkunst	
7157	46	W 1856/57		Hanslick, Eduard	Über Geschichte der Tonkunst	
7518	47	W 1856/57		Hanslick, Eduard	Über Geschichte der Tonkunst	
7663	48	W 1856/57		Hanslick, Eduard	Über Geschichte der Tonkunst	
7097	49	W 1856/57		Hanslick, Eduard	Über Geschichte der Tonkunst	
7098	50	W 1856/57		Hanslick, Eduard	Über Geschichte der Tonkunst	
7160	51	W 1856/57		Hanslick, Eduard	Über Geschichte der Tonkunst	
7310	52	W 1856/57		Hanslick, Eduard	Über Geschichte der Tonkunst	
7232	53	W 1856/57		Hanslick, Eduard	Über Geschichte der Tonkunst	
7317	54	W 1856/57		Hanslick, Eduard	Über Geschichte der Tonkunst	
7358	55	W 1856/57		Hanslick, Eduard	Über Geschichte der Tonkunst	
7385	56	W 1856/57		Hanslick, Eduard	Über Geschichte der Tonkunst	
7387	57	W 1856/57		Hanslick, Eduard	Über Geschichte der Tonkunst	
7393	58	W 1856/57		Hanslick, Eduard	Über Geschichte der Tonkunst	
7395	59	W 1856/57		Hanslick, Eduard	Über Geschichte der Tonkunst	
7398	60	W 1856/57		Hanslick, Eduard	Über Geschichte der Tonkunst	
